iso3,year,banking_crises,debt_crises,currency_crises,twin_crises,triple_crises
AFG,1950,,,,,
AFG,1951,,,,,
AFG,1952,,,,,
AFG,1953,,,,,
AFG,1954,,,,,
AFG,1955,,,,,
AFG,1956,,,,,
AFG,1957,,,,,
AFG,1958,,,,,
AFG,1959,,,,,
AFG,1960,,,,,
AFG,1961,,,,,
AFG,1962,,,,,
AFG,1963,,,1,,
AFG,1964,,1,,,
AFG,1965,,1,,,
AFG,1966,,1,,,
AFG,1967,,,,,
AFG,1968,,,,,
AFG,1969,,,,,
AFG,1970,,,,,
AFG,1971,,,,,
AFG,1972,,,,,
AFG,1973,,,,,
AFG,1974,,,,,
AFG,1975,,,,,
AFG,1976,,1,,,
AFG,1977,,,,,
AFG,1978,,,,,
AFG,1979,,,,,
AFG,1980,,,,,
AFG,1981,,,,,
AFG,1982,,,,,
AFG,1983,,,,,
AFG,1984,,,,,
AFG,1985,,,,,
AFG,1986,,,,,
AFG,1987,,,,,
AFG,1988,,,,,
AFG,1989,,,,,
AFG,1990,,,,,
AFG,1991,,,,,
AFG,1992,,,,,
AFG,1993,,,,,
AFG,1994,,,,,
AFG,1995,,,,,
AFG,1996,,,,,
AFG,1997,,,,,
AFG,1998,,,,,
AFG,1999,,,,,
AFG,2000,,1,,,
AFG,2001,,,,,
AFG,2002,,,,,
AFG,2003,,,,,
AFG,2004,,,,,
AFG,2005,,,,,
AFG,2006,,,,,
AFG,2007,,,,,
AFG,2008,,,,,
AFG,2009,,,,,
AFG,2010,,,,,
AFG,2011,,,,,
AFG,2012,,,,,
AFG,2013,,,,,
AFG,2014,,,,,
AFG,2015,,,,,
AFG,2016,,,,,
AFG,2017,,,,,
AFG,2018,,,,,
AFG,2019,,,,,
AGO,1950,,,,,
AGO,1951,,,,,
AGO,1952,,,,,
AGO,1953,,,,,
AGO,1954,,,,,
AGO,1955,,,,,
AGO,1956,,,,,
AGO,1957,,,,,
AGO,1958,,,,,
AGO,1959,,,,,
AGO,1960,,,,,
AGO,1961,,,,,
AGO,1962,,,,,
AGO,1963,,,,,
AGO,1964,,,,,
AGO,1965,,,,,
AGO,1966,,,,,
AGO,1967,,,,,
AGO,1968,,,,,
AGO,1969,,,,,
AGO,1970,,,,,
AGO,1971,,,,,
AGO,1972,,,,,
AGO,1973,,,,,
AGO,1974,,,,,
AGO,1975,,,,,
AGO,1976,,,,,
AGO,1977,,,,,
AGO,1978,,,,,
AGO,1979,,,,,
AGO,1980,,,,,
AGO,1981,,,,,
AGO,1982,,,,,
AGO,1983,,,,,
AGO,1984,,,,,
AGO,1985,,,,,
AGO,1986,,,,,
AGO,1987,,,,,
AGO,1988,,,,,
AGO,1989,,1,,,
AGO,1990,,1,,,
AGO,1991,,1,1,,
AGO,1992,,1,1,,
AGO,1993,,1,1,,
AGO,1994,,1,1,,
AGO,1995,,1,1,,
AGO,1996,,1,1,,
AGO,1997,,1,1,,
AGO,1998,,1,1,,
AGO,1999,,1,1,,
AGO,2000,,1,,,
AGO,2001,,1,,,
AGO,2002,,1,,,
AGO,2003,,1,,,
AGO,2004,,1,,,
AGO,2005,,1,,,
AGO,2006,,1,,,
AGO,2007,,,,,
AGO,2008,,,,,
AGO,2009,,,,,
AGO,2010,,,,,
AGO,2011,,,,,
AGO,2012,,,,,
AGO,2013,,,,,
AGO,2014,,,,,
AGO,2015,,,1,,
AGO,2016,,,1,,
AGO,2017,,,,,
AGO,2018,,1,1,1,
AGO,2019,,1,,,
ALB,1950,,,,,
ALB,1951,,,,,
ALB,1952,,,,,
ALB,1953,,,,,
ALB,1954,,,,,
ALB,1955,,,,,
ALB,1956,,,,,
ALB,1957,,,,,
ALB,1958,,,,,
ALB,1959,,,,,
ALB,1960,,,,,
ALB,1961,,,,,
ALB,1962,,,,,
ALB,1963,,,,,
ALB,1964,,,,,
ALB,1965,,,,,
ALB,1966,,,,,
ALB,1967,,,,,
ALB,1968,,,,,
ALB,1969,,,,,
ALB,1970,,,,,
ALB,1971,,,,,
ALB,1972,,,,,
ALB,1973,,,,,
ALB,1974,,,,,
ALB,1975,,,,,
ALB,1976,,,,,
ALB,1977,,,,,
ALB,1978,,,,,
ALB,1979,,,,,
ALB,1980,,,,,
ALB,1981,,,,,
ALB,1982,,,,,
ALB,1983,,,,,
ALB,1984,,,,,
ALB,1985,,,,,
ALB,1986,,,,,
ALB,1987,,,,,
ALB,1988,,,,,
ALB,1989,,,,,
ALB,1990,,,,,
ALB,1991,,1,,,
ALB,1992,,1,,,
ALB,1993,,1,,,
ALB,1994,1,1,,,
ALB,1995,,1,,,
ALB,1996,,1,,,
ALB,1997,,1,1,,
ALB,1998,,1,,,
ALB,1999,,1,,,
ALB,2000,,1,,,
ALB,2001,,1,,,
ALB,2002,,1,,,
ALB,2003,,,,,
ALB,2004,,,,,
ALB,2005,,,,,
ALB,2006,,,,,
ALB,2007,,,,,
ALB,2008,,,,,
ALB,2009,,,,,
ALB,2010,,,,,
ALB,2011,,,,,
ALB,2012,,,,,
ALB,2013,,,,,
ALB,2014,,,,,
ALB,2015,,,,,
ALB,2016,,,,,
ALB,2017,,,,,
ALB,2018,,,,,
ALB,2019,,,,,
ARG,1950,,,,,
ARG,1951,,,,,
ARG,1952,,,,,
ARG,1953,,,,,
ARG,1954,,,,,
ARG,1955,,,1,,
ARG,1956,,,,,
ARG,1957,,,,,
ARG,1958,,,1,,
ARG,1959,,,,,
ARG,1960,,,,,
ARG,1961,,,,,
ARG,1962,,,1,,
ARG,1963,,,,,
ARG,1964,,,,,
ARG,1965,,,,,
ARG,1966,,,,,
ARG,1967,,,1,,
ARG,1968,,,,,
ARG,1969,,,,,
ARG,1970,,,,,
ARG,1971,,,,,
ARG,1972,,,,,
ARG,1973,,,,,
ARG,1974,,,,,
ARG,1975,,,1,,
ARG,1976,,,,,
ARG,1977,,,,,
ARG,1978,,,,,
ARG,1979,,,,,
ARG,1980,1,,,,1
ARG,1981,1,,,,1
ARG,1982,1,1,,,1
ARG,1983,,1,,,
ARG,1984,,1,,,
ARG,1985,,1,,,
ARG,1986,,1,,,
ARG,1987,,1,,,
ARG,1988,,1,,,
ARG,1989,1,1,,,
ARG,1990,1,1,,,
ARG,1991,1,1,,,
ARG,1992,,1,,,
ARG,1993,,1,,,
ARG,1994,,,,,
ARG,1995,,,,,
ARG,1996,,,,,
ARG,1997,,,,,
ARG,1998,,,,,
ARG,1999,,,,,
ARG,2000,,,,,
ARG,2001,,1,,,
ARG,2002,,1,,,
ARG,2003,,1,,,
ARG,2004,,1,,,
ARG,2005,,1,,,
ARG,2006,,1,,,
ARG,2007,,1,,,
ARG,2008,,1,,,
ARG,2009,,1,,,
ARG,2010,,1,,,
ARG,2011,,1,,,
ARG,2012,,1,,,
ARG,2013,,1,,,
ARG,2014,,1,,,
ARG,2015,,1,,,
ARG,2016,,1,,,
ARG,2017,,,,,
ARG,2018,,,,,
ARG,2019,,,,,
ARM,1950,,,,,
ARM,1951,,,,,
ARM,1952,,,,,
ARM,1953,,,,,
ARM,1954,,,,,
ARM,1955,,,,,
ARM,1956,,,,,
ARM,1957,,,,,
ARM,1958,,,,,
ARM,1959,,,,,
ARM,1960,,,,,
ARM,1961,,,,,
ARM,1962,,,,,
ARM,1963,,,,,
ARM,1964,,,,,
ARM,1965,,,,,
ARM,1966,,,,,
ARM,1967,,,,,
ARM,1968,,,,,
ARM,1969,,,,,
ARM,1970,,,,,
ARM,1971,,,,,
ARM,1972,,,,,
ARM,1973,,,,,
ARM,1974,,,,,
ARM,1975,,,,,
ARM,1976,,,,,
ARM,1977,,,,,
ARM,1978,,,,,
ARM,1979,,,,,
ARM,1980,,,,,
ARM,1981,,,,,
ARM,1982,,,,,
ARM,1983,,,,,
ARM,1984,,,,,
ARM,1985,,,,,
ARM,1986,,,,,
ARM,1987,,,,,
ARM,1988,,,,,
ARM,1989,,,,,
ARM,1990,,,,,
ARM,1991,,,,,
ARM,1992,,,,,
ARM,1993,,1,,1,
ARM,1994,1,1,,1,
ARM,1995,,1,,,
ARM,1996,,1,,,
ARM,1997,,1,,,
ARM,1998,,1,,,
ARM,1999,,,,,
ARM,2000,,,,,
ARM,2001,,,,,
ARM,2002,,,,,
ARM,2003,,,,,
ARM,2004,,,,,
ARM,2005,,,,,
ARM,2006,,,,,
ARM,2007,,,,,
ARM,2008,,,,,
ARM,2009,,,,,
ARM,2010,,,,,
ARM,2011,,,,,
ARM,2012,,,,,
ARM,2013,,,,,
ARM,2014,,,,,
ARM,2015,,,,,
ARM,2016,,,,,
ARM,2017,,,,,
ARM,2018,,,,,
ARM,2019,,,,,
ATG,1950,,,,,
ATG,1951,,,,,
ATG,1952,,,,,
ATG,1953,,,,,
ATG,1954,,,,,
ATG,1955,,,,,
ATG,1956,,,,,
ATG,1957,,,,,
ATG,1958,,,,,
ATG,1959,,,,,
ATG,1960,,,,,
ATG,1961,,,,,
ATG,1962,,,,,
ATG,1963,,,,,
ATG,1964,,,,,
ATG,1965,,,,,
ATG,1966,,,,,
ATG,1967,,,,,
ATG,1968,,,,,
ATG,1969,,,,,
ATG,1970,,,,,
ATG,1971,,,,,
ATG,1972,,,,,
ATG,1973,,,,,
ATG,1974,,,,,
ATG,1975,,,,,
ATG,1976,,,,,
ATG,1977,,,,,
ATG,1978,,,,,
ATG,1979,,,,,
ATG,1980,,,,,
ATG,1981,,,,,
ATG,1982,,,,,
ATG,1983,,,,,
ATG,1984,,,,,
ATG,1985,,1,,,
ATG,1986,,1,,,
ATG,1987,,,,,
ATG,1988,,,,,
ATG,1989,,,,,
ATG,1990,,,,,
ATG,1991,,,,,
ATG,1992,,,,,
ATG,1993,,,,,
ATG,1994,,,,,
ATG,1995,,,,,
ATG,1996,,1,,,
ATG,1997,,1,,,
ATG,1998,,1,,,
ATG,1999,,1,,,
ATG,2000,,1,,,
ATG,2001,,1,,,
ATG,2002,,1,,,
ATG,2003,,1,,,
ATG,2004,,1,,,
ATG,2005,,1,,,
ATG,2006,,1,,,
ATG,2007,,1,,,
ATG,2008,,1,,,
ATG,2009,,1,,,
ATG,2010,,1,,,
ATG,2011,,1,,,
ATG,2012,,,,,
ATG,2013,,,,,
ATG,2014,,1,,,
ATG,2015,,1,,,
ATG,2016,,1,,,
ATG,2017,,,,,
ATG,2018,,,,,
ATG,2019,,,,,
AUT,1950,,,,,
AUT,1951,,,,,
AUT,1952,,,,,
AUT,1953,,,,,
AUT,1954,,,,,
AUT,1955,,,,,
AUT,1956,,,,,
AUT,1957,,,,,
AUT,1958,,,,,
AUT,1959,,,,,
AUT,1960,,,,,
AUT,1961,,,,,
AUT,1962,,,,,
AUT,1963,,,,,
AUT,1964,,,,,
AUT,1965,,,,,
AUT,1966,,,,,
AUT,1967,,,,,
AUT,1968,,,,,
AUT,1969,,,,,
AUT,1970,,,,,
AUT,1971,,,,,
AUT,1972,,,,,
AUT,1973,,,,,
AUT,1974,,,,,
AUT,1975,,,,,
AUT,1976,,,,,
AUT,1977,,,,,
AUT,1978,,,,,
AUT,1979,,,,,
AUT,1980,,,,,
AUT,1981,,,,,
AUT,1982,,,,,
AUT,1983,,,,,
AUT,1984,,,,,
AUT,1985,,,,,
AUT,1986,,,,,
AUT,1987,,,,,
AUT,1988,,,,,
AUT,1989,,,,,
AUT,1990,,,,,
AUT,1991,,,,,
AUT,1992,,,,,
AUT,1993,,,,,
AUT,1994,,,,,
AUT,1995,,,,,
AUT,1996,,,,,
AUT,1997,,,,,
AUT,1998,,,,,
AUT,1999,,,,,
AUT,2000,,,,,
AUT,2001,,,,,
AUT,2002,,,,,
AUT,2003,,,,,
AUT,2004,,,,,
AUT,2005,,,,,
AUT,2006,,,,,
AUT,2007,,,,,
AUT,2008,1,,,,
AUT,2009,1,,,,
AUT,2010,1,,,,
AUT,2011,1,,,,
AUT,2012,1,,,,
AUT,2013,,,,,
AUT,2014,,,,,
AUT,2015,,,,,
AUT,2016,,,,,
AUT,2017,,,,,
AUT,2018,,,,,
AUT,2019,,,,,
AZE,1950,,,,,
AZE,1951,,,,,
AZE,1952,,,,,
AZE,1953,,,,,
AZE,1954,,,,,
AZE,1955,,,,,
AZE,1956,,,,,
AZE,1957,,,,,
AZE,1958,,,,,
AZE,1959,,,,,
AZE,1960,,,,,
AZE,1961,,,,,
AZE,1962,,,,,
AZE,1963,,,,,
AZE,1964,,,,,
AZE,1965,,,,,
AZE,1966,,,,,
AZE,1967,,,,,
AZE,1968,,,,,
AZE,1969,,,,,
AZE,1970,,,,,
AZE,1971,,,,,
AZE,1972,,,,,
AZE,1973,,,,,
AZE,1974,,,,,
AZE,1975,,,,,
AZE,1976,,,,,
AZE,1977,,,,,
AZE,1978,,,,,
AZE,1979,,,,,
AZE,1980,,,,,
AZE,1981,,,,,
AZE,1982,,,,,
AZE,1983,,,,,
AZE,1984,,,,,
AZE,1985,,,,,
AZE,1986,,,,,
AZE,1987,,,,,
AZE,1988,,,,,
AZE,1989,,,,,
AZE,1990,,,,,
AZE,1991,,,,,
AZE,1992,,,,,
AZE,1993,,,,,
AZE,1994,,,1,1,
AZE,1995,1,,,1,
AZE,1996,,,,,
AZE,1997,,,,,
AZE,1998,,,,,
AZE,1999,,,,,
AZE,2000,,,,,
AZE,2001,,,,,
AZE,2002,,,,,
AZE,2003,,,,,
AZE,2004,,,,,
AZE,2005,,,,,
AZE,2006,,,,,
AZE,2007,,,,,
AZE,2008,,,,,
AZE,2009,,,,,
AZE,2010,,,,,
AZE,2011,,,,,
AZE,2012,,,,,
AZE,2013,,,,,
AZE,2014,,,,,
AZE,2015,,,1,,
AZE,2016,,,1,,
AZE,2017,,,,,
AZE,2018,,,,,
AZE,2019,,,,,
BDI,1950,,,,,
BDI,1951,,,,,
BDI,1952,,,,,
BDI,1953,,,,,
BDI,1954,,,,,
BDI,1955,,,,,
BDI,1956,,,,,
BDI,1957,,,,,
BDI,1958,,,,,
BDI,1959,,,,,
BDI,1960,,,,,
BDI,1961,,,,,
BDI,1962,,,,,
BDI,1963,,,,,
BDI,1964,,,,,
BDI,1965,,,,,
BDI,1966,,,,,
BDI,1967,,,,,
BDI,1968,,,,,
BDI,1969,,,,,
BDI,1970,,,,,
BDI,1971,,,,,
BDI,1972,,,,,
