varname,varlabel
iso3st,
year,
region_t,Region
incomegroup_t,Income group
cpi_t,"WDI: Inflation, consumer prices (annual %)"
exr_t,"WDI: Official exchange rate (LCU per US$, period average)"
rgdp_t,WDI; GDP (constant 2015 US$)
gdppc_t,WDI: GDP per capita (constant 2015 US$)
trade_t,WDI: Trade (% of GDP)
credit_t,WDI: Domestic credit to private sector (% of GDP)
pop_t,"WDI: Population, total"
gcon_t,WDI: General government final consumption expenditure (constant 2015 US$)
agri_t,"WDI: Agriculture, forestry, and fishing, value added (constant 2015 US$)"
remit_t,"WDI: Personal remittances, received (% of GDP)"
fertilizer_t,WDI: Fertilizer consumption (kilograms per hectare of arable land)
arable_t,WDI: Arable land (% of land area)
land_t,WDI: Land area (sq. km)
industry_t,"WDI: Industry (including construction), value added (constant 2015 US$)"
service_t,"WDI: Services, value added (constant 2015 US$)"
manuf_t,"WDI: Manufacturing, value added (constant 2015 US$)"
USA_TRADE,trade sanction by USA
USA_ARMS,arms sanction by USA
USA_MILITARY,military sanction by USA
USA_FINANCIAL,financial sanction by USA
USA_TRAVEL,travel sanction by USA
GBR_TRADE,trade sanction by GBR
GBR_ARMS,arms sanction by GBR
GBR_MILITARY,military sanction by GBR
GBR_FINANCIAL,financial sanction by GBR
GBR_TRAVEL,travel sanction by GBR
DEU_TRADE,trade sanction by DEU
DEU_ARMS,arms sanction by DEU
DEU_MILITARY,military sanction by DEU
DEU_FINANCIAL,financial sanction by DEU
DEU_TRAVEL,travel sanction by DEU
FRA_TRADE,trade sanction by FRA
FRA_ARMS,arms sanction by FRA
FRA_MILITARY,military sanction by FRA
FRA_FINANCIAL,financial sanction by FRA
FRA_TRAVEL,travel sanction by FRA
ITA_TRADE,trade sanction by ITA
ITA_ARMS,arms sanction by ITA
ITA_MILITARY,military sanction by ITA
ITA_FINANCIAL,financial sanction by ITA
ITA_TRAVEL,travel sanction by ITA
CAN_TRADE,trade sanction by CAN
CAN_ARMS,arms sanction by CAN
CAN_MILITARY,military sanction by CAN
CAN_FINANCIAL,financial sanction by CAN
CAN_TRAVEL,travel sanction by CAN
JPN_TRADE,trade sanction by JPN
JPN_ARMS,arms sanction by JPN
JPN_MILITARY,military sanction by JPN
JPN_FINANCIAL,financial sanction by JPN
JPN_TRAVEL,travel sanction by JPN
EU_TRADE,
EU_ARMS,
EU_MILITARY,
EU_FINANCIAL,
EU_TRAVEL,
