year,iso3st,grpop,pop_density
1960,ABW,..,..
1961,ABW,1.187344266,308.7666667
1962,ABW,1.326227235,312.8888889
1963,ABW,1.203664309,316.6777778
1964,ABW,1.076601948,320.1055556
1965,ABW,0.986114425,323.2777778
1966,ABW,0.862398829,326.0777778
1967,ABW,0.503043106,327.7222222
1968,ABW,0.133831409,328.1611111
1969,ABW,-0.028784044,328.0666667
1970,ABW,-0.172878469,327.5
1971,ABW,-0.287095355,326.5611111
1972,ABW,-1.256564621,322.4833333
1973,ABW,0.433191333,323.8833333
1974,ABW,0.085728007,324.1611111
1975,ABW,-0.092589424,323.8611111
1976,ABW,0.125146807,324.2666667
1977,ABW,0.362554695,325.4444444
1978,ABW,0.334026692,326.5333333
1979,ABW,0.703589499,328.8388889
1980,ABW,1.205724095,332.8277778
1981,ABW,1.08574013,336.4611111
1982,ABW,1.17041036,340.4222222
1983,ABW,1.541681007,345.7111111
1984,ABW,1.075700261,349.45
1985,ABW,-1.882442511,342.9333333
1986,ABW,-2.954373626,332.95
1987,ABW,-1.296516608,328.6611111
1988,ABW,0.290320062,329.6166667
1989,ABW,1.856883717,335.7944444
1990,ABW,3.750561346,348.6277778
1991,ABW,4.8871356,366.0888889
1992,ABW,4.61012241,383.3611111
1993,ABW,6.562028493,409.3611111
1994,ABW,5.170374146,431.0833333
1995,ABW,2.808316701,443.3611111
1996,ABW,3.950742871,461.2277778
1997,ABW,3.874759767,479.45
1998,ABW,2.460754086,491.3944444
1999,ABW,1.356485906,498.1055556
2000,ABW,1.030816853,503.2666667
2001,ABW,0.935032935,507.9944444
2002,ABW,0.692051827,511.5222222
2003,ABW,1.138228939,517.3777778
2004,ABW,2.135357818,528.5444444
2005,ABW,2.590756656,542.4166667
2006,ABW,1.796637852,552.25
2007,ABW,0.74666479,556.3888889
2008,ABW,0.76293347,560.65
2009,ABW,0.678450763,564.4666667
2010,ABW,0.230041096,565.7666667
2011,ABW,0.736689418,569.95
2012,ABW,1.46978229,578.3888889
2013,ABW,1.492031397,587.0833333
2014,ABW,1.0655121,593.3722222
2015,ABW,1.023701031,599.4777778
2016,ABW,0.757967559,604.0388889
2017,ABW,0.007357607,604.0833333
2018,ABW,0.158975971,605.0444444
2019,ABW,0.270504633,606.6833333
2020,ABW,-0.565684047,603.2611111
2021,ABW,-0.820211083,598.3333333
1960,AFE,..,..
1961,AFE,2.66224927,12.03601668
1962,AFE,2.723434378,12.36380969
1963,AFE,2.751207522,12.70396375
1964,AFE,2.808572809,13.06076382
1965,AFE,2.849731768,13.43296056
1966,AFE,2.850185896,13.81582491
1967,AFE,2.885662373,14.21450297
1968,AFE,2.932711806,14.63137338
1969,AFE,2.931600263,15.06030676
1970,AFE,2.930631057,15.50166878
1971,AFE,2.928935337,15.95570264
1972,AFE,2.88338904,16.41576762
1973,AFE,2.963641941,16.90227219
1974,AFE,3.019615048,17.41265575
1975,AFE,2.964972599,17.92893622
1976,AFE,2.96026727,18.45968065
1977,AFE,2.870010053,18.98947534
1978,AFE,3.034658462,19.56574106
1979,AFE,3.178559804,20.18764984
1980,AFE,3.044372689,20.80223714
1981,AFE,3.141507114,21.4557409
1982,AFE,3.267858229,22.15688409
1983,AFE,3.182234577,22.86196812
1984,AFE,3.080514103,23.56623427
1985,AFE,3.056781137,24.28660248
1986,AFE,3.032604067,25.02311897
1987,AFE,3.042115526,25.78435116
1988,AFE,2.947305632,26.54429479
1989,AFE,2.866056166,27.30506919
1990,AFE,2.908029828,28.09910875
1991,AFE,2.78887467,28.88275767
1992,AFE,2.696188418,29.66149124
1993,AFE,2.808198305,27.74145568
1994,AFE,2.694992654,28.48908587
1995,AFE,2.630243616,29.23841823
1996,AFE,2.680503379,30.02215502
1997,AFE,2.596752425,30.80175606
1998,AFE,2.624682768,31.61020444
1999,AFE,2.657593516,32.45027519
2000,AFE,2.629362847,33.30351066
2001,AFE,2.622438094,34.17687461
2002,AFE,2.642102236,35.07986258
2003,AFE,2.65366708,36.01076535
2004,AFE,2.676564895,36.52957466
2005,AFE,2.694131173,37.51359195
2006,AFE,2.705723416,38.52863064
2007,AFE,2.727991504,39.57953907
2008,AFE,2.761070138,40.67248315
2009,AFE,2.775044083,41.80105278
2010,AFE,2.772256475,42.95749127
2011,AFE,2.720982046,44.12546335
2012,AFE,2.730115847,37.69651656
2013,AFE,2.786358194,38.74697531
2014,AFE,2.740997396,39.80915464
2015,AFE,2.733523971,40.89719951
2016,AFE,2.675919839,41.99155377
2017,AFE,2.67727931,43.11581959
2018,AFE,2.771986829,44.31093941
2019,AFE,2.759056562,45.53346547
2020,AFE,2.736283132,46.77951358
2021,AFE,2.684848831,48.03547281
1960,AFG,..,..
1961,AFG,1.96223912,14.12704567
1962,AFG,2.044522836,14.41884918
1963,AFG,2.105208225,14.72561366
1964,AFG,2.161195472,15.04732686
1965,AFG,2.23370858,15.3872223
1966,AFG,2.269651429,15.74045199
1967,AFG,2.306668007,16.10775187
1968,AFG,2.360683434,16.49252871
1969,AFG,2.392720378,16.89190776
1970,AFG,2.445205745,17.31004094
1971,AFG,2.428516313,17.73556414
1972,AFG,2.442583899,18.17410423
1973,AFG,2.534758939,18.64066204
1974,AFG,2.526844215,19.11768395
1975,AFG,2.415250485,19.58504515
1976,AFG,2.213446083,20.02338286
1977,AFG,2.128099564,20.45406682
1978,AFG,2.008697854,20.86908146
1979,AFG,0.323658823,20.93673551
1980,AFG,-3.62580788,20.19120709
1981,AFG,-9.819770739,18.30271683
1982,AFG,-8.258034385,16.85199699
1983,AFG,-0.669999257,16.73946614
1984,AFG,2.46291172,17.15686338
1985,AFG,2.092575239,17.51966638
1986,AFG,-0.059334023,17.50927434
1987,AFG,-0.282849651,17.45981939
1988,AFG,1.182671147,17.66753753
1989,AFG,2.998764795,18.20536927
1990,AFG,1.434588211,18.46842372
1991,AFG,1.591325884,18.76466737
1992,AFG,8.15641941,20.35934256
1993,AFG,11.80725911,22.9108934
1994,AFG,8.388729602,24.91574138
1995,AFG,4.89368012,26.16536498
1996,AFG,4.005404674,27.23466569
1997,AFG,3.804508034,28.29077319
1998,AFG,3.764686638,29.37613419
1999,AFG,3.72811604,30.49198136
2000,AFG,1.212175976,30.86384711
2001,AFG,0.762004897,31.09992947
2002,AFG,5.252029585,32.77696058
2003,AFG,6.145194002,34.85434433
2004,AFG,3.575834854,36.12322954
2005,AFG,3.51921696,37.41711819
2006,AFG,4.092702017,38.9802585
2007,AFG,1.89259754,39.72502338
2008,AFG,2.186546182,40.60319519
2009,AFG,3.646380908,42.11106665
2010,AFG,2.934686702,43.36520706
2011,AFG,3.691503084,44.99594928
2012,AFG,4.047862563,46.8546893
2013,AFG,3.418226676,48.48397651
2014,AFG,3.632518847,50.27754473
2015,AFG,3.119959241,51.87091057
2016,AFG,2.535719918,53.20302961
2017,AFG,2.808337308,54.71832789
2018,AFG,2.910809599,56.3344817
2019,AFG,2.984389136,58.04106067
2020,AFG,3.153609203,59.90061635
2021,AFG,2.356097792,61.3286908
1960,AFW,..,..
1961,AFW,2.126118338,11.02147707
1962,AFW,2.15440142,11.25892392
1963,AFW,2.193730649,11.50591439
1964,AFW,2.208937673,11.76007287
1965,AFW,2.241025435,12.02361909
1966,AFW,2.274764299,12.29712809
1967,AFW,2.290459137,12.57878878
1968,AFW,2.328412107,12.87167482
1969,AFW,2.369267572,13.17663924
1970,AFW,2.418565304,13.49532486
1971,AFW,2.446143611,13.82543989
1972,AFW,2.481388701,14.16850279
1973,AFW,2.553859836,14.5303465
1974,AFW,2.63342756,14.91365206
1975,AFW,2.711655273,15.31873625
1976,AFW,2.718738709,15.73521266
1977,AFW,2.754938285,16.16870806
1978,AFW,2.833365477,16.62682665
1979,AFW,2.871688748,17.10429736
1980,AFW,2.872775237,17.59566538
