iso3st,year,nreserve,nreserveg,resdebt,resimport,usdef
ABW,1960,,,,,15.795792
ABW,1961,,,,,16.00906
ABW,1962,,,,,16.208313
ABW,1963,,,,,16.384724
ABW,1964,,,,,16.63114
ABW,1965,,,,,16.950428
ABW,1966,,,,,17.441784
ABW,1967,,,,,17.991423
ABW,1968,,,,,18.777142
ABW,1969,,,,,19.708204
ABW,1970,,,,,20.745394
ABW,1971,,,,,21.797146
ABW,1972,,,,,22.740118
ABW,1973,,,,,23.986258
ABW,1974,,,,,26.144709
ABW,1975,,,,,28.566437
ABW,1976,,,,,30.13859
ABW,1977,,,,,32.0112
ABW,1978,,,,,34.262844
ABW,1979,,,,,37.105537
ABW,1980,,,,,40.457321
ABW,1981,,,,,44.285458
ABW,1982,,,,,47.021595
ABW,1983,,,,,48.863388
ABW,1984,,,,,50.62632
ABW,1985,,,,,52.22739
ABW,1986,112720000,73630000,,4.9251943,53.279194
ABW,1987,127140000,78730000,,4.5706563,54.599125
ABW,1988,131945000,90920000,,3.3844979,56.525108
ABW,1989,127170000,87070000,,2.9218223,58.741322
ABW,1990,136430000,97930000,,2.2174003,60.940205
ABW,1991,154950000,119590000,,1.1795464,63.001087
ABW,1992,175435000,142110000,,1.2928754,64.43679
ABW,1993,220304992,181240000,,1.5191985,65.964149
ABW,1994,215915008,177590000,,1.3942982,67.37262
ABW,1995,255345000,216670000,,1.5001807,68.78521
ABW,1996,224544992,187620000,,1.0402732,70.044502
ABW,1997,201350001,172330000,,.87865388,71.252388
ABW,1998,250970000,222190000,,1.4264112,72.053169
ABW,1999,248935008,219910000,,1.7874987,73.072792
ABW,2000,235455008,208010000,,1.7850343,74.728035
ABW,2001,321360608,293710624,,2.2753444,76.410675
ABW,2002,374002944,339727936,,2.5581157,77.598091
ABW,2003,336945700,295220700,,2.1548409,79.130127
ABW,2004,339224000,295424000,,.9370178,81.258003
ABW,2005,324813400,273513400,,.70499045,83.805809
ABW,2006,401389600,337819600,,.85287029,86.390244
ABW,2007,455457100,372082100,,.85574496,88.730782
ABW,2008,691873900,604898900,,1.1859938,90.440361
ABW,2009,686970110,578220110,,2.5026488,90.998184
ABW,2010,708713690,568163690,,3.7635467,92.104073
ABW,2011,689775980,536675980,,1.1747198,94.00428
ABW,2012,768622300,602222300,,3.0534506,95.754791
ABW,2013,653170670,532720670,,3.1814606,97.384422
ABW,2014,680351000,559751000,,3.3921397,99.08049
ABW,2015,815800560,709800560,,4.2424111,100
ABW,2016,922550890,807960890,,5.0355735,100.95033
ABW,2017,907111452.5,777461452.5,,4.8016934,102.75814
ABW,2018,980247680,852082680,,4.6171694,105.11222
ABW,2019,982300000,830000000,,4.7376513,106.87654
ABW,2020,1212578720,1023468720,,8.1287556,108.28797
ABW,2021,1512960280,1330950280,,8.6089087,113.25269
ABW,2022,1543940590,1362705590,,6.9782844,121.22684
AFG,1960,50690800,10000000,,,15.795792
AFG,1961,42444500,6240000,,,16.00906
AFG,1962,40592100,4470000,,,16.208313
AFG,1963,45547800,9240000,,,16.384724
AFG,1964,44619680,8130000,,,16.63114
AFG,1965,45434560,8980000,,,16.950428
AFG,1966,47114050,12100000,,,17.441784
AFG,1967,38528800,5300000,,,17.991423
AFG,1968,45589800,6120000,,,18.777142
AFG,1969,41373600,8180000,,,19.708204
AFG,1970,49488930,12530000,,,20.745394
AFG,1971,67614024,26950866,,,21.797146
AFG,1972,81289664,20802860,,,22.740118
AFG,1973,126230160,21613158,,,23.986258
AFG,1974,201456352,27638356,,,26.144709
AFG,1975,217260896,86547904,,,28.566437
AFG,1976,256505584,130918576,,,30.13859
AFG,1977,431038912,275820960,,,32.0112
AFG,1978,605029120,390555104,,,34.262844
AFG,1979,934779008,441211040,,14.067405,37.105537
AFG,1980,940035968,371168480,,12.201656,40.457321
AFG,1981,657880768,274293248,,7.3064036,44.285458
AFG,1982,698660800,257752304,,8.4720392,47.021595
AFG,1983,582311040,214163536,,6.5742145,48.863388
