fold,preindex,country_id,y_true,y_pred,dataset,mse,rmse,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
5,0,0,0.0,4.8581343,train,23.601469,4.8581343,1.0,1.0,23.704496,17.303381,-1.0,-0.02862599794070045,0.27008218721300453,-0.31310199837510605,0.16405270385369616,-2.3397277774922536,-10.97005313926563
5,2,0,0.0,4.8787303,train,23.80201,4.8787303,1.0,1.0,23.741257,17.36041,-1.0,-0.028741808128233477,0.2700381581510132,-0.2979367579451453,0.1724842471946014,-2.3406937539093224,-10.971927603158477
5,3,0,0.0,4.893155,train,23.942966,4.893155,1.0,1.0,23.767384,17.389074,-1.0,-0.028800831319763923,0.27004110097512685,-0.28682750978817434,0.17682152168390378,-2.3410268406557586,-10.972559680980936
5,5,1,0.0,3.8635418,train,14.926955,3.8635418,1.0,0.0,22.260267,14.798337,-9.0,-0.1081541541814755,-0.9244503433046235,-1.1402007952667788,-0.06345016291178823,-5.82224378109413,-6.153466736618434
5,6,1,0.0,3.8954954,train,15.174885,3.8954954,1.0,0.0,22.316133,14.818367,-9.0,-0.10847299758593093,-0.9249211755233487,-1.1110576983230824,-0.06224902752476509,-5.818722590530295,-6.154588910662877
5,7,1,0.0,3.9114063,train,15.299099,3.9114063,1.0,0.0,22.345194,14.839499,-9.0,-0.10860008275508552,-0.9249776062791539,-1.0956873771374411,-0.06130847260976784,-5.8185795172713775,-6.1549487186397105
5,8,1,0.0,3.916547,train,15.339341,3.916547,1.0,0.0,22.356182,14.860708,-9.0,-0.10860534572601124,-0.9247462405686562,-1.0896218073243866,-0.060540623740603795,-5.820628202290587,-6.154819012058283
5,9,1,0.0,3.9076502,train,15.269731,3.9076502,1.0,0.0,22.343588,14.881747,-9.0,-0.10845923701921902,-0.9241665054187131,-1.0957082219148704,-0.06001497200752484,-5.825488065556937,-6.154021057489018
5,10,1,0.0,3.9168017,train,15.341335,3.9168017,1.0,0.0,22.361237,14.9023075,-9.0,-0.10850982475280405,-0.9240603275671575,-1.086242348613839,-0.05918596005067005,-5.8266213903489215,-6.154086510914077
5,12,1,0.0,3.9421554,train,15.540589,3.9421554,1.0,0.0,22.408169,14.94161,-9.0,-0.10868583544095228,-0.9240655195328065,-1.0613923391910898,-0.057455125061793906,-5.827171592412522,-6.1545827573252225
5,13,1,0.0,3.932384,train,15.463644,3.932384,1.0,0.0,22.393866,14.960477,-9.0,-0.10854159001508999,-0.9234940722895159,-1.0684455881180854,-0.05698584691497265,-5.831891120089224,-6.153765583327661
5,14,1,0.0,3.986496,train,15.89215,3.986496,1.0,0.0,22.48769,14.987356,-9.0,-0.10905179500579551,-0.9244625275147461,-1.019740587742378,-0.05517221866858588,-5.824744005439804,-6.155841185670348
5,15,1,0.0,10.483119,train,109.89578,10.483119,1.0,0.0,22.387033,15.005347,1.0,-0.018499366641046896,-0.8351664642095555,-0.8027542785803444,-0.20043284972508185,-1.0553458747069073,-4.680189970095958
5,17,1,0.0,13.588915,train,184.6586,13.588915,1.0,1.0,21.983913,14.993255,5.0,0.01179478184382259,0.2335419132709549,-0.9201274996598604,-0.258400320370989,0.6029732747872677,-4.156376047213879
5,18,1,0.0,13.61945,train,185.48941,13.61945,1.0,1.0,22.07521,14.987153,5.0,0.011520119110744095,0.23406274974346683,-0.8853576729695023,-0.25986873789628284,0.5995045775969795,-4.155919234991076
5,20,1,19.503517,13.670341,train,34.025948,5.8331766,0.0,1.0,22.280039,14.974837,5.0,0.032180778384204765,0.2343116074005748,-0.7997647457122818,-0.273085455775261,0.6159438492059668,-4.214752356688171
5,22,1,19.446531,13.656783,train,33.521183,5.789748,0.0,1.0,22.251497,14.962367,5.0,0.03201516087849673,0.23427371533711588,-0.8107223168611519,-0.2757479973236718,0.6164807707468655,-4.215023090044654
5,23,1,19.737957,13.684905,train,36.63944,6.053052,0.0,1.0,22.33611,14.956074,5.0,0.03234196658929381,0.23458166086673346,-0.7781010648806873,-0.2780130568345345,0.6124799909989007,-4.213892259438834
5,24,1,20.286638,13.725951,train,43.042614,6.560687,0.0,1.0,22.457361,14.94974,5.0,0.03282643349965879,0.23502105204264642,-0.7313622095187543,-0.28035141487916393,0.6066245043277712,-4.212314031918845
5,25,1,20.615088,13.747887,train,47.158447,6.867201,0.0,1.0,22.524517,14.943367,5.0,0.0331179428100632,0.23517342019081533,-0.705461701154711,-0.2821969374020896,0.6031762015819557,-4.21142912952106
5,26,1,20.758808,13.791399,train,48.54479,6.967409,1.0,1.0,22.604189,14.933982,5.0,0.010424721399942844,0.23740087811151797,-0.6850696962674412,-0.27028332098324825,0.5780669401486681,-4.154648335218431
5,27,1,20.793716,14.616324,train,38.16017,6.177392,1.0,1.0,22.648556,14.930984,7.0,0.029620994885767304,0.23261820936203553,-0.6736699942747782,-0.25464687752724297,1.3309598925908437,-4.12406561517716
5,28,1,20.905018,14.636146,train,39.29876,6.2688723,1.0,1.0,22.702368,14.927242,7.0,0.02984679722786126,0.2329726926485746,-0.6525470601717624,-0.25489278658231596,1.3297038986682925,-4.124444811264681
5,29,1,21.074625,14.65585,train,41.20067,6.4187746,1.0,1.0,22.756048,14.923062,7.0,0.030097670316693297,0.2333451541264829,-0.6314641392231001,-0.25520606684684594,1.3284182625611587,-4.1248482853571495
5,30,1,21.291885,15.661187,train,31.704762,5.630698,1.0,1.0,22.80984,14.917945,9.0,0.08629101308186629,0.2261489475965539,-0.6189620368878026,-0.21281286927064347,2.221805885831517,-4.116793490648275
5,31,1,21.448269,15.682196,train,33.2476,5.766073,1.0,1.0,22.86719,14.911635,9.0,0.08536200698216545,0.2264772043228129,-0.5956366947491939,-0.21358069197336416,2.221132926225661,-4.117065948565803
5,32,1,21.623165,15.703268,train,35.04518,5.919897,1.0,1.0,22.9253,14.9040785,9.0,0.08442397697766879,0.22681728724638914,-0.5719519826173801,-0.2146034021774952,2.2204508278767174,-4.117375517368309
5,33,1,21.575806,15.729816,train,34.17559,5.845989,1.0,1.0,22.997622,14.896405,9.0,0.08324333254495911,0.2272357386350642,-0.5424241819779078,-0.21558598617712457,2.2196014477809327,-4.117761728922533
5,37,1,21.864962,15.76883,train,37.16282,6.0961313,1.0,1.0,23.10622,14.88036,9.0,0.08147076185544225,0.22805397244294445,-0.49799404903253075,-0.21791958431402803,2.21818214841684,-4.118469811201097
5,39,1,21.87903,15.778764,train,37.21325,6.1002665,1.0,1.0,23.13378,14.876457,9.0,0.08102381102243816,0.2282421148220701,-0.4867002848386781,-0.2184894085327819,2.217826203703885,-4.118646480003991
5,40,1,21.856247,15.786713,train,36.839245,6.0695343,1.0,1.0,23.155725,14.873546,9.0,0.0806692771116874,0.2283825374444365,-0.4777038059234623,-0.21890931320190432,2.217547218481698,-4.118782989660899
5,41,1,21.929243,15.799033,train,37.579475,6.13021,1.0,1.0,23.188337,14.871946,9.0,0.08014362597466132,0.2285762866735518,-0.4643616287310912,-0.21905730315049732,2.217158005515729,-4.118933636188514
5,42,1,22.05115,15.813303,train,38.91073,6.2378464,1.0,1.0,23.225655,14.871027,9.0,0.0795427298545856,0.22879288740952888,-0.4490977294842425,-0.21906880215803823,2.216718395352359,-4.119092302083965
5,43,1,22.094843,15.828092,train,39.27217,6.2667513,1.0,1.0,23.26506,14.86856,9.0,0.07890723681449628,0.2290290515025458,-0.4329489332437524,-0.2193436700900418,2.216236605445539,-4.119296483914048
5,44,2,22.873095,22.855274,train,0.00031756517,0.017820358,0.0,1.0,26.272722,17.06881,6.0,0.08225598096847796,0.20586043524741657,0.7144716715812681,0.26029238597551835,0.42653941567738707,3.0903445887565653
5,45,2,23.147066,21.475746,train,2.7933104,1.67132,0.0,1.0,26.252335,17.08471,-9.0,0.28273120168224003,0.2652938025395104,1.007817586518822,0.09809395054727678,-2.4646668677888854,4.210968666402006
5,47,2,23.473907,20.790533,train,7.200498,2.6833744,1.0,1.0,26.273268,17.116745,-9.0,-0.1117370386123619,0.280567962884912,1.0073793279329912,0.09480879207451573,-2.7736065269509975,4.2176108262340195
5,48,2,23.44138,20.850468,train,6.7128243,2.5909119,1.0,1.0,26.370602,17.132751,-9.0,-0.11019932683308571,0.2797842459678641,1.0573790367245675,0.09915647262334544,-2.766871830900506,4.215711269418393
5,49,2,23.388582,20.858364,train,6.402004,2.5302181,1.0,1.0,26.385677,17.1486,-9.0,-0.11034891033172986,0.2798820952971769,1.0653552098770986,0.10031750381986598,-2.767897977799188,4.215550276825832
5,51,2,23.478018,21.052204,train,5.884572,2.4258137,1.0,1.0,26.325,17.18014,-8.0,-0.08776102010408438,0.25180946032206736,1.007688865105928,0.13711163335354867,-2.4775990276876794,4.145448313554744
5,52,2,23.503517,23.505583,train,4.2669453e-06,0.0020656586,1.0,1.0,26.36757,17.195726,8.0,0.028018876393637124,0.20157681123415935,0.7992245128949487,0.20289026474952948,1.164808550834661,3.0335578858057524
